hit,miss,incorrect,rew_location,area_rewarded,time_to_reward,trial_start_time,end_trial_time,mouse_enter_time,first_reward_area_visited,entrance1,entrance2,rewA,rewB,rewC,rewD,rew_location.1,state_sequence,video_segment_path,matched_trial_id,avg_speed_px_per_frame,max_speed_px_per_frame,min_speed_px_per_frame
,,1.0,C,,,3560927.0,3564161.0,3562843.0,rewB,1471.0,1745.0,,3248.0,,,C,,,,,,
,,1.0,D,,,3564177.0,3619808.0,3595065.0,rewB,957.0,749.0,,47738.0,,,D,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_053.mp4,trial_053,0.5749480105519595,9.266637060606158,0.0
,,1.0,A,,,3619818.0,3659057.0,3633498.0,rewB,1544.0,1276.0,2352.0,33966.0,,,A,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_054.mp4,trial_054,1.1185054716601168,8.875181272683388,0.0
,,1.0,A,,,3659061.0,3712642.0,3677033.0,rewB,593.0,504.0,3415.0,50791.0,3793.0,,A,"1, 3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_055.mp4,trial_055,0.8660408009269813,11.011908563804052,0.0
1.0,,,B,B,170995.0,3712658.0,3975169.0,3883653.0,rewB,1168.0,640.0,6457.0,261735.0,,,B,"4,1,4",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_056.mp4,trial_056,0.4020950619942093,8.46772847829335,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_057.mp4,trial_057,0.5416755172299111,11.895765467336638,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_058.mp4,trial_058,0.9807921460697899,24.088546140315355,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_059.mp4,trial_059,0.5041809992790662,8.33779411193059,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_060.mp4,trial_060,0.9342296106783077,4.870868058805761,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_061.mp4,trial_061,0.9452918493730817,16.10251595789928,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_062.mp4,trial_062,0.5358656310207139,2.827312342985791,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_063.mp4,trial_063,1.1212444717501928,13.022600000000011,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_064.mp4,trial_064,0.35452754049312163,11.06524548484598,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_065.mp4,trial_065,0.9152188957556323,13.72711680428928,0.0
